<ανά>γνωστος	hard to read
@κομμός1	striking
@κομμός2	care bestowed on dress or adornment
@κομμός3	molar teeth
@κοντάριον2	spear
@κοντός	pole, punting-pole
@κοντός1	pole, punting-pole
@κοντός2	short
@κοπίζω	talk idly, lie
@κοπίζω1	talk idly, lie
@κοπίζω2	celebrate the
@κορέω	sweep out
@κορέω1	sweep out
@κορίζω	to be infested with bugs
@κορίζω1	to be infested with bugs
@κορίζω2	sweep
@κορεία	brushing: attendance
@κορεία1	brushing: attendance
@κορεία2	maidenhood
@κορός	dark, black
@κορός1	dark, black
@κορός2	pure
@κουρίζω	to be a youth
@κουρίζω1	to be a youth
@κουρίζω2	clip, shear
@κοῦρος2	loppings, twigs stripped from a tree
@κράμβος	loud, ringing
@κράμβος1	loud, ringing
@κράμβος2	blight in grapes, when they shrivel
@κράνος	helmet
@κράνος1	helmet
@κράνος2	rod of cherry-wood
@κρήτη	creta, chalk
@κραῦρος	a disease of bees
@κραῦρος1	a disease of bees
@κραῦρος2	brittle, friable
@κρημνός	overhanging bank
@κρημνός1	overhanging bank
@κωρυκίς	leaf-gall in elms
@κόριον	little girl
@κόριον1	little girl
@κόρος	satiety, surfeit
@κόρος1	satiety, surfeit
@κόρος2	boy, lad
@κόρος3	besom
@κόρος4	kor
@κύμβη	hollow of a vessel: drinking-cup, bowl
@κύμβη1	hollow of a vessel: drinking-cup, bowl
@κύμβη2	head
@κύπρινος	made of copper
@κύπρινος1	made of copper
@κύπρινος2	made from the flower of
@κύπριος	of copper
@κύπρος	henna, Lawsonia inermis
@κώρυκος	leathern sack or wallet for provisions
@κῦρος	supreme power, authority
@κῶς1	public prison
@λάχνος	wool
@λάχνος1	wool
@λάχνος2	glutton
@λάω2	seize, hold
@λέγω	lay
@λέγω1	lay
@λέγω2	pick up
@λέκιθος	gruel
@λέκιθος1	gruel
@λέκιθος2	yolk of an egg
@λήϊον	standing crop
@λήϊον1	standing crop
@λίνος	the Bands
@λίς	lion
@λίς1	lion
@λίς2	smooth
@λίψ	the SW. wind
@λίψ1	the SW. wind
@λίψ2	stream
@λαιμός	throat, gullet
@λαιμός1	throat, gullet
@λαιμός2	impudently
@λαιός	blue thrush, Petrocichla cyanus
@λαιός1	blue thrush, Petrocichla cyanus
@λαιός2	left
@λαμπάς	torch
@λαμπάς1	torch
@λαμπάς2	torch-lit
@λεία	tool for smoothing stone
@λεία1	tool for smoothing stone
@λεία2	booty, plunder
@λεώδης	popular, common
@λεώδης1	popular, common
@λεῦκος1	a fish
@λιάζω2	to be over-enthusiastic
@λιβανωτίς	rosemary frankincense
@λιβανωτίς1	rosemary frankincense
@λιβανωτίς2	Cultes Ãgyptiens
@λιμηρός	hungry, causing hunger
@λιμηρός1	hungry, causing hunger
@λιμηρός2	furnished with a good harbour
@λιπαρία	persistence, perseverance
@λιπαρία1	persistence, perseverance
@λιπαρία2	fatness
@λιτός	simple, inexpensive, frugal
@λιτός1	simple, inexpensive, frugal
@λιτός3	suppliant, supplicatory
@λογάς	picked, chosen
@λογάς1	picked, chosen
@λογάς2	whites of the eyes
@λοιγός	ruin, havoc
@λοιγός1	ruin, havoc
@λοῖσθος	left behind, last
@λοῖσθος1	left behind, last
@λοῖσθος2	beam
@λυμαίνομαι	cleanse from dirt
@λυμαίνομαι1	cleanse from dirt
@λυμαίνομαι2	outrage, maltreat
@λόγχη	spear-head
@λόγχη1	spear-head
@λόγχη2	lot
@λύγξ	lynx, Felis lynx
@λύγξ1	lynx, Felis lynx
@λύγξ2	hiccup
@λῆξις	determination or appointment by lot
@λῆξις1	determination or appointment by lot
@λῆξις2	cessation
@λῆρος	trash, trumpery
@λῆρος1	trash, trumpery
@λῆρος2	gold ornament
@λῦμα	water used in washing
@λῦμα1	water used in washing
@μά	by
@μά1	by
@μάψ2	in vain, without result
@μέλε2	my friend
@μέλινος2	ashen
@μέλπω	celebrate with song and dance
@μέλπω1	celebrate with song and dance
@μέλπω2	sing before or first
@μέτειμι	sum), to be among
@μέτειμι1	sum), to be among
@μέτειμι2	go between or among
@μή	not
@μή1	not
@μή3	lest perchance
@μήν	verily, truly
@μήν1	verily, truly
@μήρινθος2	cord, line, string
@μήτρα	womb
@μήτρα1	womb
@μήτρα2	register of house-property
@μίτρα	maiden's girdle
@μαλός	white
@μαλός1	white
@μαλός2	white-tailed
@μανία	madness
@μανία1	madness
@μαῖα	good mother
@μαῦλις	bawd, procuress
@μαῦλις1	bawd, procuress
@μαῦλις2	knife
@μείρομαι	receive as one's portion
@μείρομαι1	receive as one's portion
@μελίζω	dismember, cutin pieces
@μελίζω1	dismember, cutin pieces
@μελίζω2	modulate, sing
@μεῖον2	lamb or sheep offered at the Athenian Apaturia
@μηλίς2	a distemper of asses
@μηλίς3	yellow pigment
@μονία	changelessness
@μονία1	changelessness
@μονία2	solitude, celibacy
@μοναυλία	solo on the flute
@μοναυλία1	solo on the flute
@μοναυλία2	living alone, celibacy
@μορία	the sacred olives
@μορία1	the sacred olives
@μυλλός	awry, crooked
@μυλλός1	awry, crooked
@μυλλός2	pudenda muliebria
@μυωτός	made of mouse-skin
@μυωτός1	made of mouse-skin
@μυωτός2	furnished with muscles
@μόριος	of burial
@μόσχος	young shoot or twig
@μόσχος1	young shoot or twig
@μόσχος2	calf, young bull
@μόσχος3	musk
@μύδος	damp: clamminess, decay
@μύδος1	damp: clamminess, decay
@μύζω	make the sound
@μύζω1	make the sound
@μύξα	discharge from the nose
@μύξα1	discharge from the nose
@μύξα2	sebesten, Cordia Myxa
@μύουρος	tapering
@μύουρος1	tapering
@μύουρος2	mouse-tail
@μὴ	nay but . . , not so, but
@μὴ1	nay but . . , not so, but
@μὴ2	certainly not
@μὴ3	lest
@μὴ4	not to speak of . . , let alone
@μὴ5	fear or apprehension
@μὴ6	never yet
@μῆδος1	counsels, plans, arts
@μῆδος2	genitals
@μῆλον	sheep or goat
@μῆλον1	sheep or goat
@μῆλον2	apple
@νέατος	uttermost, lowest
@νέατος1	uttermost, lowest
@νέατος2	latest, last
@νέω	swim
@νέω1	swim
@νέω2	spin
@νέω3	heap, pile up
@νέω4	next year
@νίκη	victory
@νίκη1	victory
@νίκη2	contentious
@ναός	temple
@ναός1	temple
@νειρός	lowest
@νειρός1	lowest
@νειρός2	strong, vehement
@νεουργός	newmade, new
@νεουργός1	newmade, new
@νεουργός2	shipbuilder
@νευστικός	able to swim
@νευστικός1	able to swim
@νευστικός2	inclining, declining
@νεόδμητος	newly tamed
@νεόδμητος1	newly tamed
@νεόδμητος2	new-built
@νεόρρυτος	fresh-flowing
@νεόρρυτος1	fresh-flowing
@νεόρρυτος2	newly drawn
@νεῦσις	inclination, tendency
@νεῦσις1	inclination, tendency
@νεῦσις2	swimming
@νόμιος	of shepherds
@νόμιος1	of shepherds
@νῆσις	spinning
@νῆσις1	spinning
@νῆσις2	accumulation
@νῆϊς	unknowing of, unpractised in
@νῆϊς1	unknowing of, unpractised in
@νῦν	now
@νῦν1	now
@νῦν2	now, even now
@ξ1	to be poured over
@ξ2	to be drawn ashore, drawn up in line
@ξ3	bounteous giver
@ξυνάν2	joint-owner, partner
@ξυρόν	razor
@ξυρόν1	razor
@ξυστός	shaved, whittled
@ξυστός1	shaved, whittled
@ξυστός2	walking-place
@οἰνίζω	resemble wine
@οἰνίζω1	resemble wine
@οἴνη	the vine
@οἴνη1	the vine
@οἴνη2	the ace
@οὐ	not
@οὐ1	not
@οὐ10	no truly
@οὐ11	assuredly not
@οὐ12	no truly, nay verily
@οὐ13	on the contrary . . not
@οὐ14	surely not, verily not
@οὐ15	since
@οὐ16	not however
@οὐ17	nevertheless, notwithstanding, yet, still
@οὐ18	never yet ai any time
@οὐ2	for not
@οὐ3	indeed
@οὐ4	for surely not
@οὐ5	no,âcertainly not
@οὐ6	for I don't suppose
@οὐ8	certainly not, in sooth not
@οὐδέ	but not
@οὐδέ1	but not
@οὐδέ2	and) in no wise
@οὐδέ3	and not yet, not as yet
@οὐδός	threshold
@οὐδός1	threshold
@οὐδός2	way
@οὐκ2	so not, not then
@οὐλή2	wound scarred over, scar
@οὐρέω	make water
@οὐρέω1	make water
@οὐρέω2	watch
@οὐρία2	a water-bird
@οὐρίζω2	carry with a fair wind, waft on the way
@οὐραῖος	of the tail
@οὐραῖος1	of the tail
@οὔ	surely not, certainly not
@οὔ1	surely not, certainly not
@οὔ2	surely not
@οὔ3	not at all
@οὔ4	nowhere
@οὔ5	nowhere
@οὔ6	not ever, never
@οὔ7	surely you do not mean that . . ?
@οὔριος	with a fair wind
@οὔριος1	with a fair wind
@οὔριος2	of or for urine
@οὔτι	in no wise
@οὔτι1	in no wise
@οὔτι2	not, I suppose . . , surely you do not mean that
@οὔτι3	not at all yet
@οὖλος	whole, entire
@οὖλος1	whole, entire
@οὖλος2	woolly, of thick, fleecy wool
@οὖλος3	destructive, baneful, cruel
@οὖλος4	corn-sheaf
@οὖρον	urine
@οὖρον1	urine
@οὖρον2	limit, range
@οὖρος	fair wind
@οὖρος1	fair wind
@οὖρος2	watcher, guardian
@οὖρος4	urus, Bos primigenius
@οὗ	where
@οὗ1	where
@οὗ2	him, her
@πάλη	wrestling
@πάλη1	wrestling
@πάλη2	the finest meal
@πάν	fish
@πάνορμος	always fit for mooring in
@πάραυλος	dwelling beside
@πάραυλος1	dwelling beside
@πάραυλος2	discordant, out of tune
@πάρειμι	sum
@πάρειμι1	be by or be present
@πάρειμι2	pass by, pass
@πάροδος2	way by or past, passage
@πάρος1	aforetime, formerly
@πάρουρος	one who keeps watch beside
@πάρουρος1	one who keeps watch beside
@πάρουρος2	beside the tail
@πάροχος	one who sits beside
@πάροχος1	one who sits beside
@πάροχος2	provider
@πάτος	trodden or beaten way, path
@πάτος1	trodden or beaten way, path
@πάτος2	robe worn by Hera
@πέδορτος	rising from the ground
@πέδορτος1	rising from the ground
@πέρα	beyond, further
@πέρα1	beyond, further
@πέρα2	to a foreign city
@πίασμα	that which makes fat
@πίασμα1	that which makes fat
@παλαιστής	wrestler
@παλαιστής1	wrestler
@πανός2	torch
@παράλληλος	beside one another, side by side
@παράλληλος1	beside one another, side by side
@παράλληλος2	beyond calculation, unexpected, unlooked for
@παράφασις	address, encouragement, consolation
@παράφασις1	address, encouragement, consolation
@παράφασις2	image in a mirror
@παραλληλία	being side by side, repetition
@παραλληλία1	being side by side, repetition
@παραλληλία2	false form
@παραλληλισμός	equating
@παραλληλισμός1	equating
@παραλληλισμός2	false reasoning, fallacy
@παραφάσσω	feel gently with the finger
@παραφάσσω1	feel gently with the finger
@παρθένος	maiden, girl
@παστός	sprinkled with salt, salted
@παστός1	sprinkled with salt, salted
@παστός2	woman's chamber, bridal chamber
@περ	very much, however much.
@περ1	very much, however much.
@περάω	drive right through
@περάω1	drive right through
@περίαλλος	before all others
@περίαλλος1	before all others
@περίδρομος	running round, encircling
@περίδρομος1	running round, encircling
@περίδρομος2	that which surrounds, edge, rim
@περίειμι	to be around
@περίειμι1	to be around
@περίειμι2	go round, fetch a compass
@περίοδος	one who goes the rounds, patrol
@περίοδος1	one who goes the rounds, patrol
@περίοδος2	going round, marching round, flank march
@περίπλοος	sailing round
@περίπλοος1	sailing round
@περίπλοος2	circumnavigation
@περινέω	swim round
@περινέω1	swim round
@περινέω2	pile, heap round
@περισκελής	very hard
@περισκελής1	very hard
@περισκελής2	round the leg
@περιστένω	make narrow, compress, contract
@περιστένω1	make narrow, compress, contract
@περιστένω2	moan about or over
@περσέπολις	destroyer of cities
@πεῖ2	where?
@πεῖσμα	ship's cable
@πεῖσμα1	ship's cable
@πεῖσμα2	persuasion, confidence
@πιθών	cellar
@πιθών1	cellar
@πιστικός	liquid
@πιστικός1	liquid
@πιστικός2	faithful
@πιστός	liquid
@πιστός1	liquid
@πιστός2	to be trusted or believed
@πλάζω	turn aside or away from
@πλάζω1	turn aside or away from
@πλάτος	breadth, width
@πλάτος1	breadth, width
@πλάτων	ladle
@πλοῦτος	wealth, riches
@πλοῦτος1	wealth, riches
@ποιώδης2	qualitative
@πολιάς	grey-haired
@πολιοῦχος2	greyhaired
@πολιᾶχος2	protecting a city
@πολυδειράς	with many ridges
@πολυδειράς1	with many ridges
@πολυδειράς2	many-necked
@πολυτειρής	wearying much
@πολυτειρής1	wearying much
@πολυτειρής2	rich in stars
@πολύβροχος	freshly infused several times
@πολύβροχος1	freshly infused several times
@πολύβροχος2	with many nooses
@πολύπους	many-footed
@πολύπους1	many-footed
@πολύπους2	poulp or octopus
@πολύπυρος	rich in corn
@πολύπυρος1	rich in corn
@πολύπυρος2	full of fire
@ποτή	flight
@ποτή1	flight
@ποτή2	sample of wine
@πρέσβις	ambassador
@πρέσβις1	ambassador
@πρέσβις2	age
@πρίω2	saw
@πρίων	saw
@πρίων1	saw
@πρεσβύτης	age, seniority
@πρεσβύτης1	age, seniority
@προέξειμι	sum) improve, derive benefit
@προέξειμι1	sum) improve, derive benefit
@προέξειμι2	ibo) sally forth from
@προθέω	run before
@προθέω1	run before
@προθέω2	do they
@προνέω	heap up before
@προνέω1	heap up before
@προνέω2	swim before
@προσδέω	bind on or to
@προσδέω1	bind on or to
@προσδέω2	need besides
@προσκοπή	looking out for
@προσκοπή1	looking out for
@προσκοπή2	offence taken
@προσνέω	swim to or towards
@προσνέω1	swim to or towards
@προσνέω2	heap up against
@προσφάγιον	PLond. ined.
@προσφάγιον1	PLond. ined.
@προσφάγιον2	victim sacrificed beforehand
@προυσέληνος	before the new moon appears
@προυσέληνος1	before the new moon appears
@πρυτανεία	presidency
@πρυτανεία1	presidency
@πρόβολος	anything that projects
@πρόβολος1	anything that projects
@πρόβολος2	eligible for nomination
@πρόδομος	chamber entered immediately from the fore-court
@πρόδομος1	chamber entered immediately from the fore-court
@πρόδομος2	before the house
@πρόειμι	ibo) go forward, advance
@πρόειμι1	ibo) go forward, advance
@πρόειμι2	sum) to be before
@πρόοδος	going before
@πρόοδος1	going before
@πρόοδος2	going on, advance
@πρόπλοος	sailing before or in advance
@πρόπλοος1	sailing before or in advance
@πρόπλοος2	sailing before or forward
@πρόσειμι	sum
@πρόσειμι1	sum
@πρόσειμι2	go to or towards, approach
@πρῆσις2	blowing up, distension
@πυκνός	close, compact.
@πυκνός1	close, compact.
@πυκτίς	picture
@πυκτίς1	picture
@πυκτίς2	badger
@πυρά	watch-fires
@πυρά1	watch-fires
@πυρά2	funeral-pyre
@πυρίδιον	spark
@πυρίδιον1	spark
@πυρίτης	of or in fire
@πυρίτης1	of or in fire
@πυρίτης2	wheaten
@πυρογενής	fire-born
@πυρογενής1	fire-born
@πυρογενής2	made from wheat
@πυροφορέω	bear wheat
@πυροφορέω1	bear wheat
@πυροφορέω2	to be
@πυροφόρος	inflammatory missiles
@πυροφόρος1	inflammatory missiles
@πυροφόρος2	wheat-bearing
@πυρσός	firebrand, torch
@πυρσός1	firebrand, torch
@πυρώδης	cereal
@πυρώδης1	cereal
@πυρώδης2	like fire, fiery
@πόσις	husband, spouse
@πόσις1	husband, spouse
@πόσις2	drinking, drink, beverage
@πότημα	flight
@πότημα1	flight
@πότημα2	draught, potion
@πύξ	with the fist
@πύξ1	with the fist
@πύρινος	of fire, fiery
@πύρινος1	of fire, fiery
@πύρινος2	of wheat, wheaten
@πᾶς	all
@πᾶς1	all
@πῶ	where?
@πῶ1	where?
@πῶ2	drink!
@πῶμα	lid, cover
@πῶμα1	lid, cover
@πῶμα2	drink, draught
@σάκος2	shield
@σάκτας	sack
@σάκτας1	sack
@σάραξ2	tinea
@σάραπις	a white Persian robe with purple stripes
@σάω	sift, bolt.
@σάω1	sift, bolt.
@σαίρω	part the lips and show the closed teeth
@σαίρω1	part the lips and show the closed teeth
@σαίρω2	sweep, clean
@σαβάζω	shake violently, scatter
@σειράω	bind or draw with a rope
@σειράω1	bind or draw with a rope
@σειράω2	to be hot and scorching
@σηστός	the sifter
@σκάρος	parrot-wrasse, Scarus cretensis
@σκάρος1	parrot-wrasse, Scarus cretensis
@σκάφιον	small bowl or basin
@σκάφιον1	small bowl or basin
@σκάφιον2	small boat
@σκάφος	digging, hoeing
@σκάφος1	digging, hoeing
@σκάφος2	hull of a ship
@σκαφίς	bowl
@σκαφίς1	bowl
@σκαφίς2	boat, skiff
@σκενδύλη	pincers
@σκενδύλη1	pincers
@σκνιπός	niggardly, stingy
@σκνιπός1	niggardly, stingy
@σκνιπός2	dim-sighted
@σκῖρον2	rind
@σκῦρος	chippings of stone
@σκῶλος	pointed stake
@σκῶλος1	pointed stake
@σμύρνα	myrrh
@σοῦ2	shoo! shoo!
@σπάρτη	rope or cord
@σπίζω	pipe, chirp
@σπίζω1	pipe, chirp
@σπίζω2	extend
@σπίλος	rock, cliff
@σπίλος1	rock, cliff
@σπίλος2	spot, fleck, blemish
@σπανός	rare, uncommon
@σπιλάς	rock over which the sea dashes
@σπιλάς1	rock over which the sea dashes
@σπιλάς2	spot
@σπιλάς3	storm, squall
@στίβη	stipa
@στίβη1	stipa
@στίβη2	rime, hoar frost
@στερρός	stiff, firm, solid
@στερρός1	stiff, firm, solid
@στερρός2	barren
@στεῖρα	forepart of a ship's keel
@στεῖρα1	forepart of a ship's keel
@στεῖρα2	that has not brought forth young
@στύπος	stem, stump, block
@στύπος1	stem, stump, block
@στύραξ	storax
@στύραξ1	storax
@στύραξ2	spike at the lower end of a spear-shaft
@συγκαταλέγω	lay down with
@συγκαταλέγω1	lay down with
@συγκαταλέγω2	repeat or quote along with
@συμπάρειμι	sum) to be present also or at the same time
@συμπάρειμι1	sum) to be present also or at the same time
@συμπάρειμι2	ibo) march beside together
@συναλίζω	bring together, collect, assemble
@συναλίζω1	bring together, collect, assemble
@συναλίζω2	eat salt with, eat at the same table with, Act. Ap.
@συναυλία	concert of lyre and flute
@συναυλία1	concert of lyre and flute
@συναυλία2	dwelling together
@συνείκω	give way, yield
@συνείκω1	give way, yield
@συνείκω3	accrue
@συνεράω	pour together, gather together
@συνεράω1	pour together, gather together
@συνεράω2	love jointly or together with
@συννέω	swim together
@συννέω1	swim together
@συννέω2	pile or heap together, heap up
@συρίζω	yw
@συρτός	swept or washed down by a river
@συρτός1	swept or washed down by a river
@σφυρίον2	small hammer, mallet
@σχοινίς	rope, cord
@σχοινίς1	rope, cord
@σύναυλος	in concert with the flute
@σύναυλος1	in concert with the flute
